Kode ;Nama;Harga;Jumlah (Dewasa);
JARHJ;Jas Abu rokok;125,000;M:4, L:5, XL:3;
JGDHJ;Jas gold ;125,000;S:1, L:1, XXL:1;
JHLHJ;Jas Hijau lime;125,000;M:4, L:2, XL:6;
JKKHJ;Jas khaki;125,000;L:2, XL:4;
JKMHJ;Jas krem muda;125,000;L:2;
JKNHJ;Jas kuning;125,000;XL:1;
JMCHJ;Jas merah cabe;125,000;M:1, L:5, XL:4, XXL:1;
JRGHJ;Jas rosegold;125,000;M:2, L:2, XL:2, XXL:1;
JTKHJ;Jas krem;125,000;M:1, L:3, XL:8;
JMRHJ;Jas maroon;125,000;M:3, L:2, XL:1, XXL:1;
JHTHJ;Jas tosca;125,000;M:2, L:1;
JMGHJ;Jas magenta;125,000;L:2, XL:2;
JGTHJ;Jas gliter terracota;150,000;XL:1;
JTOHJ;Jas orange ;125,000;M:7, L:3;
JHHHJ;Jas hitam polos ;125,000;M:1, L:2, XL:2;
RABHJ;Renda abu manset;350,000;S:1;
RBDHJ;Renda biru denim manset;350,000;S:1;
RBNHJ;Renda bodo kuning panjang;125,000;L: 12;
RBPHJ;Renda bordir pink;350,000;M:1;
RBTHJ;Renda bordir taro;125,000;L: 6;
RHGHJ ;Renda hitam gold;125,000;M:1;
RHJHJ;Renda hijau ;150,000;M: 5;
RHOHJ;Renda hijau olive;350,000;M:1;
RHSHJ;Renda hijau sage;350,000;M:1;
RMGHJ;Renda merah gold;150,000;M:7;
RNVHJ;Renda navy;350,000;S:1;
RSGHJ;Renda rosegold;350,000;S:1;
RSHHJ;Renda silver ;250,000;S:1;
RSPHJ;Renda sabrina pink;350,000;M:1;
RTBHJ;Renda tunik biru;150,000;M: 4;
RTEHJ;Tokko krem ;125,000;L: 12;
RTHHJ;Tokko sage;125,000;L: 11;
RTKHJ;Tokko kuning ;125,000;L: 16;
RTMHJ;Tokko magenta;125,000;L: 11;
RTPHJ;Tokko pink panjang;125,000;L: 16;
RTTHJ;Renda terracota;150,000;L: 6;
RUNHJ;Renda ungu ;350,000;M:1;
