KODE;NAMA;HARGA;JUMLAH (DEWASA)
JHJ4;JAS HOTMAN PARIS HJ;125,000;XL : 1
JHJ5;JAS FORMAL GARIS TANGGUNG HJ;125,000;L :  1
JHJ6;JAS FORMAL HITAM KANCING 3 HJ;125,000;M :1
JHJ7;JAS PINK BORDIR GOLD HJ;125,000;M : 1
JHJ9;JAS FORMAL HITAM POLOS HJ;125,000;M :1
JHJ10;JAS FORMAL HITAM PINGGIRAN PUTIH;125,000;XL :1
JHJ11;JAS FORMAL NAVY PINGGIRAN PUTIH;125,000;M : 1
JHJ12;JAS FORMAL CREAM;125,000;XL :1
JHJ13;JAS FORMAL PINK;125,000;S : 1
JHJ14;JAS FORMAL GOLD;125,000;"S: 1 ; L:1"
JHJ15;JAS FORMAL KHAKI;125,000;"XL: 1 ; M: 1"
JHJ16;JAS FORMAL ABU HITAM;125,000;L: 1
JHJ17;JAS FORMAL BURGUNDY;125,000;XL : 1
JHJ18;JAS FORMAL ABU BASAH;125,000;M :1
JHJ19;JAS FORMAL MAROON A;125,000;M :1yt
JHJ20;JAS FORMAL KHAKI GARIS;125,000;M :1
JHJ21; JAS FORMAL MAROON B;125,000;M :1
JHJ22;JAS FORMAL UNGU;125,000;M :1
JHJ23;JAS FORMAL SILVER;125,000;"S: 1; XL:2"
JHJ24;JAS FORMAL MOCCA;125,000;M:2
JHJ25;JAS FORMAL DENIM;125,000;S: 1
JHJ26;KEMEJA NAVY BATIK;125,000;M: 1
