Kode ;Nama;Harga;Jumlah;;;;;KODE;NAMA;HARGA;JUMLAH (DEWASA);JUMLAH (ANAK)
RPS 01;Renda Premium Silver;500000;;;;;;RPS01;RENDA PREMIUM SILVER;RP 500,000;S:1, M:1;
RPP 05;Renda Premium Peach;450000;M:1, L:2, XL:1;;;;;RPH02;RENDA PREMIUM HIJAU;RP 500,000;M:1, L:1;
RPH 02;Renda Premium Hijau Telur Asin;500000;;;;;;RPP03;RENDA PREMIUM PINK;RP 400,000;M:1;
RPB 06;Renda Premium Biru Muda;450000;M:1;;;;;RPT04;RENDA PREMIUM TERAKOTA;RP 450,000;L:2, XL:1;
RPP 03;Renda Premium Pink;450000;M:1;;;;;RPP05;RENDA PREMIUM PEACH;RP 450,000;M:1, L:2, XL:1;
RPS 07;Renda Premium Silver;450000;S:1, M:1;;;;;RPB06;RENDA PREMIUM BIRU;RP 400,000;M:1;
RPT 04;Renda Pemium Terracota;450000;L:2, XL:1;;;;;RPS07;RENDA PREMIUM SILVER;RP 450,000;S:1, M:1;
RPM 08;Renda Premium Marun;350000;S:1;;;;;RPM08;RENDA PREMIUM MAROON;RP 350,000;S:1;
RPP 09;Renda Premium Pink Soft;350000;M:2, L:1, XL:2, XXL:1;;;;;RPP09;RENDA PREMIUM PINK;RP 350,000;M:2, L:1, XL:2, XXL:1;M:2
RPK 13;Renda Premium Kuning Tile;350000;;;;;;RPT10;RENDA PREMIUM TURKISH;RP 350,000;M:1, L:1, XL:1;
RPT 10;Renda Premium Tourqish;350000;M:1, L:1, XL:1;;;;;RPD11;RENDA PREMIUM DATUK;RP 350,000;M:2, XL:1;
RPM 14;Renda Premium Marun Terang;250000;;;;;;RPM12;RENDA PREMIUM MOKA;RP 300,000;M:1, L:2, XL:1;
RPD 11;Renda Premium Datu;350000;M:2, XL:1;;;;;RPK13;RENDA PREMIUM KUNING;RP 250,000;M:1, L:2, XL:1;
RPK 15;Renda Premium Kuning ;350000;;;;;;RPM14;RENDA PREMIUM MERAH;RP 250,000;M:2, L:1, XL:2, XXL:1;
RPM 12;Renda Premium Mocca;350000;M:1, L;;;;;RPK15;RENDA PREMIUM KUNING;RP 350,000;M:3, L:2, XL:1;
RPE 16;Renda Premium Emerald Blue;250000;;;;;;RPE16;RENDA PREMIUM EMERALD BLUE;RP 250,000;S:2, M:3, L:3, XXL:1;
RPK 17;Renda Premium Kuning;250000;;;;;;RPK17;RENDA PREMIUM KREM;RP 250,000;S:1,M:1;
RPN 21;Renda Premium Navy;400000;;;;;;RPH18;RENDA PREMIUM HIJAU;RP 180,000;M:4;
RPH 18;Renda Premium Hijau botol;350000;;;;;;RPM19;RENDA PREMIUM MERAH ;RP 180,000;S:4,M:1, XL:1;Xs:1, M:1
RPA 22;Renda Premium Abu ;350000;;;;;;RPC20;RENDA PREMIUM COKLAT;RP 350,000;M:3, L:2, XL:1;
RPT 23;Renda Premium Taro;350000;;;;;;RPN21;RENDA PREMIUM NAVY;RP 400,000;S:1, M:1 L:1, XL:2, XXL:1;M:2
RPC 20;Renda Premium Coklat Mahogany;200000;;;;;;RPA22;RENDA PREMIUM ABU;RP 350,000;S:1, M:2, L:1, XL:1;M:2
GPK 01;Gamis Premium Kuning;;;;;;;RPT23;RENDA PREMIUM TARO;RP 350,000;S:1, M:1, L:1, XL:2, XXL:1;S:1, M:1
;;;;;;;;RBW24;RENDA BROKEN WHITE;RP 450,000;S:1, M:1, L:2, XL:1, XXL:1;S:1, M:1
RPM 19;Renda Premium Marun Akar;200000;;;;;;GPK01;GAUN PREMIUM KUNING;RP 400,000;L:2, XL:1;
;;;;;;;;RTO25;RENDA TILE OLIVE;RP 200,000;S:2, M:2, L:4, XL:2, XXL:1;S:1, M:1
;;;;;;;;PKL24;PREMIUM TOKKO;RP 500,000;XL:2;
;;;;;;;;PHL25;PREMIUM HIJAU LUMUT;RP 500,000;XL:2;
GPS 02;Gamis Premium Sage;;;;;;;PMG26;PREMIUM MAGENTA;RP 500,000;XL:2;
;;;;;;;;PLM27;PREMIUM LIME;RP 500,000;XL:2;
;;;;;;;;PKG28;PREMIUM KREM GOLD;RP 500,000;XL:6;
;;;;;;;;PHD29;PREMIUM HIJAU DATUK;RP 500,000;M:1, L:1;
