Kode ;Nama;Harga;Jumlah (Dewasa);Jumlah (Anak)
RBK04;Renda Burung Kuning;100000;S:3, M:1, L:2, XL:1;M:2
RHD05;Renda Hijau Datuk;125000;S:2, M:4, L:4, XL:2, XXL:1;S:1, M:2
ROH08;Renda Organza Hitam Baru;150000;S:2, M:4, L:4, XL:2, XXL:1;M:2
RBO09;Renda Biru Orange;150000;S:3, M:4, L:4, XL:1, XXL:1;
RMB10;Renda Mahogany Bru;150000;S:2, M:4, L:5, XL:2, XXL:1;S:1, M:3, 
KBJ11;Kebaya Janggan;150000;S:2, M:2, L:2;M:2
RMR02;Renda Ceppa Marun;180000;S:2, M:3, L:5, XL:2, XXL:1;S:2, M:1
RKR01;Renda Ceppa Krem;180000;S:2, M:5, L:4, XL:2, XXL:2;M:2
TMG06;Tokko Magenta;180000;L:9, XL:6;M:8
TKR07;Tokko Krem;180000;L:11, XL:5;M:8
TTC8;Tokko Terracota;180000;L:5, XL: 8;M:2, L:2, XL:2
RBW08;Renda Biru Wardah;180000;S:2, M:4, L:4, XL:2, XXL:1;S:2, M:1
RMH09;Renda Mahogany;180000;S:2, M:4, L:4, XL:2, XXL:1;S:1, M:2
RBN10;Renda Biru Navy;180000;S:2, M:4, L:4, XL:2, XXL:1;S:1, M:1, L:1
