KODE;NAMA;NOMOR;HARGA;JUMLAH
SK 01;SONGKOK HITAK GOLD;4a (anak);Rp 30,000;1
SK 01;;5a (anak);;3
SK 01;;3,5;;2
;;4;;2
;;4,5;;3
;;5;;7
;;5,5;;5
;;6;;16
;;6,5;;1
;;7;;9
;;7,5;;2
;;8;;6
;;8,5;;1
;;9;;3
SK 03;SONGKOK SILVER HITAM;4a (anak);;
;;5a (anak);;
;;3,5;;
;;4;;
;;4,5;1;
;;5;2;
;;5,5;1;
;;6;5;
;;6,5;1;
;;7;5;
;;7,5;;
;;8;3;
;;8,5;;
;;9;1;
SK 02;SONGKOK PUTIH GOLD;4 (anak);1;
;;4,9 (anak);1;
;;5a (anak);1;
;;5,5 (anak);1;
;;4;3;
;;5;;
;;5,5;5;
;;6;5;
;;6,5;1;
;;7;5;
;;7,5;;
;;8;2;
;;8,5;;
;;9;;
SK 01 (;SONGKOK HITAM GOLD;4a (anak);;
;;5a (anak);;
;;3,5;;
;;4;;
;;4,5;;
;;5;;
;;5,5;;
;;6;;
;;6,5;;
;;7;;
;;7,5;;
;;8;;
;;8,5;;
