KODE;NAMA;HARGA;JUMLAH (DEWASA);JUMLAH (ANAK)
SM 01;SARUNG MAROON;Rp 30,000;6;
SM 01;SARUNG MAGENTA;Rp 30,000;6;
SL 03;SARUNG LIME;Rp 30,000;12;4
SM 05;SARUNG MAROON;Rp 30,000;12;
SL 07;SARUNG LILAC;Rp 30,000;12;
SM 09;SARUNG MOCHA;Rp 30,000;12;
SP 11;SARUNG PEACH;Rp 30,000;24;
ST 13;SARUNG TERACOTA;Rp 30,000;12;
ST 15;SARUNG TERRACOTA;Rp 30,000;15;2
SH 17;SARUNG HIJAU/MAROON;Rp 30,000;22;
SG 19;SARUNG GREEN;Rp 30,000;12;2(B)
SH 21; SARUG HIJAU/ORANGE;Rp 30,000;12;
ST 23;SARUNG TURKISH;Rp 30,000;13;2
SH 25;SARUNG HIJAU/MAROON;Rp 30,000;4;1
SM 27;SARUNG BURGUNDY;Rp 30,000;24;
SC 29;SARUNG COKLAT/SALEM;Rp 30,000;24;
SU 02;SARUNG UNGU;Rp 30,000;7;
SN 04;SARUNG NAVY;Rp 30,000;14;
SA 06;SARUNG ABU/PINK;Rp 30,000;12;4
SH 08;SARUNG HIJAU DATUK/TERACOTA;Rp 30,000;12;
SS 10;SARUNG SALEM;Rp 30,000;12;
SP 12;SARUNG PINK/BIRU KOTAK;Rp 30,000;21;4
SD 14;SARUNG DATUK/LIME;Rp 30,000;12;
SB 16;SARUNG BIRU/SILVER;Rp 30,000;12;
SI 18;SARUNG HITAM GOLD;Rp 30,000;12;
SU 20;SARUNG UNGU;Rp 30,000;8;
SM 22;SARUNG MAROON HITAM;Rp 30,000;13;
SA 24;SARUNG ABU ABU/HITAM;Rp 30,000;8;
ST 26;SARUNG TARO;Rp 30,000;12;
SA 28;SARUNG ABU/CREAM;Rp 30,000;12;
