KODE;NAMA;HARGA;JUMLAH (DEWASA);JUMLAH (ANAK)
RPS01;RENDA PREMIUM SILVER;RP 500,000;M:2,L:1;
RPP03;RENDA PREMIUM PINK;RP 450,000;M:1;
RPP05;RENDA PREMIUM PEACH;RP 450,000;M:1, L:2, XL:1;
RPS07;RENDA PREMIUM SILVER;RP 450,000;S:1, M:1;
RPH02;RENDA PREMIUM HIJAU;RP 500,000;M:1, L:1;S:1
RPT04;RENDA PREMIUM TERAKOTA;RP 450,000;L:2, XL:1;
RPB06;RENDA PREMIUM BIRU;RP 450,000;M:1;
RPM08;RENDA PREMIUM MAROON;RP 350,000;S:1, M:1;
RPP09;RENDA PREMIUM PINK;RP 350,000;M:2, L:1, XL:2, XXL:1;M:2
RPD11;RENDA PREMIUM DATUK;RP 350,000;M:2, XL:1;
RPK13;RENDA PREMIUM KUNING;RP 250,000;M:1, L:2, XL:1;
RPK15;RENDA PREMIUM KUNING;RP 350,000;M:3, L:2, XL:1;
RPT10;RENDA PREMIUM TURKISH;RP 350,000;M:1, L:1, XL:1;
RPM12;RENDA PREMIUM MOKA;RP 300,000;M:1, L:2, XL:1;
RPM14;RENDA PREMIUM MERAH;RP 250,000;M:2, L:1, XL:2, XXL:1;
RPE16;RENDA PREMIUM EMERALD BLUE;RP 250,000;S:2, M:3, L:3, XXL:1;
RPK17;RENDA PREMIUM KREM;RP 250,000;S:1,M:1;
RPM19;RENDA PREMIUM MERAH ;RP 200,000;S:4,M:1, XL:1;Xs:1, M:1
GPK01;GAUN PREMIUM KUNING;RP 400,000;L:2, XL:1;
RPA22;RENDA PREMIUM ABU;RP 350,000;S:1, M:2, L:1, XL:1;
RPH18;RENDA PREMIUM HIJAU;RP 200,000;M:4;
RPC20;RENDA PREMIUM COKLAT;RP 350,000;M:3, L:2, XL:1;
RPN21;RENDA PREMIUM NAVY;RP 400,000;S:1, M:1 L:1, XL:2, XXL:1;
RPT23;RENDA PREMIUM TARO;RP 350,000;S:1, M:1, L:1, XL:2, XXL:1;
